task,num_simulations,max_epochs,actual_epochs,run_number,coverage_stats,status
slcp,10000,10,,1,"{'mean': 0.6380499996617437, 'median': 0.6625000238418579, 'min': 0.04500000178813934, 'max': 1.0}",completed
slcp,10000,10,,2,"{'mean': 0.6385000011883676, 'median': 0.7024999856948853, 'min': 0.029999999329447746, 'max': 1.0}",completed
slcp,10000,10,,3,"{'mean': 0.6454500016756356, 'median': 0.6825000047683716, 'min': 0.004999999888241291, 'max': 1.0}",completed
slcp,10000,20,,1,"{'mean': 0.6466000003740191, 'median': 0.6700000166893005, 'min': 0.03500000014901161, 'max': 1.0}",completed
slcp,10000,20,,2,"{'mean': 0.6466000016778708, 'median': 0.675000011920929, 'min': 0.0, 'max': 1.0}",completed
slcp,10000,20,,3,"{'mean': 0.7010000036656856, 'median': 0.7325000166893005, 'min': 0.054999999701976776, 'max': 1.0}",completed
slcp,10000,50,,1,"{'mean': 0.6019000026676804, 'median': 0.6725000143051147, 'min': 0.004999999888241291, 'max': 1.0}",completed
slcp,10000,50,,2,"{'mean': 0.68385000041686, 'median': 0.7425000071525574, 'min': 0.014999999664723873, 'max': 1.0}",completed
slcp,10000,50,,3,"{'mean': 0.7322000007797033, 'median': 0.7800000011920929, 'min': 0.004999999888241291, 'max': 1.0}",completed
slcp,10000,100,,1,"{'mean': 0.6543500008061528, 'median': 0.6949999928474426, 'min': 0.019999999552965164, 'max': 1.0}",completed
slcp,10000,100,,2,"{'mean': 0.7179499989375472, 'median': 0.7849999964237213, 'min': 0.03500000014901161, 'max': 1.0}",completed
slcp,10000,100,,3,"{'mean': 0.6933500012010336, 'median': 0.7475000023841858, 'min': 0.08500000089406967, 'max': 1.0}",completed
slcp,100000,10,,1,"{'mean': 0.5227500019036233, 'median': 0.49000000953674316, 'min': 0.009999999776482582, 'max': 1.0}",completed
slcp,100000,10,,2,"{'mean': 0.5708500012662262, 'median': 0.5974999964237213, 'min': 0.014999999664723873, 'max': 1.0}",completed
slcp,100000,10,,3,"{'mean': 0.5116999997664243, 'median': 0.5074999928474426, 'min': 0.014999999664723873, 'max': 1.0}",completed
slcp,100000,20,,1,"{'mean': 0.5617000002600253, 'median': 0.5824999809265137, 'min': 0.029999999329447746, 'max': 1.0}",completed
slcp,100000,20,,2,"{'mean': 0.5471500013768673, 'median': 0.5475000143051147, 'min': 0.009999999776482582, 'max': 1.0}",completed
slcp,100000,20,,3,"{'mean': 0.6401000014878809, 'median': 0.7400000095367432, 'min': 0.02500000037252903, 'max': 1.0}",completed
slcp,100000,50,,1,"{'mean': 0.44149999901652337, 'median': 0.3700000047683716, 'min': 0.009999999776482582, 'max': 1.0}",completed
slcp,100000,50,,2,"{'mean': 0.5370999972149729, 'median': 0.5399999916553497, 'min': 0.019999999552965164, 'max': 1.0}",completed
slcp,100000,50,,3,"{'mean': 0.5444999994244426, 'median': 0.5475000143051147, 'min': 0.014999999664723873, 'max': 1.0}",completed
slcp,100000,100,,1,"{'mean': 0.49444999888539315, 'median': 0.5324999988079071, 'min': 0.0, 'max': 1.0}",completed
slcp,100000,100,,2,"{'mean': 0.5045499991532415, 'median': 0.45749999582767487, 'min': 0.0, 'max': 1.0}",completed
slcp,100000,100,,3,"{'mean': 0.52989999987185, 'median': 0.5099999904632568, 'min': 0.0, 'max': 1.0}",completed
